Description,Item Category,Date of Retrieval,Department Name,College Name
Computer Desk,furniture-tables,2023/10/26,Technology Solutions,Technology Solutions
Office Desk,furniture-tables,2023/10/26,Technology Solutions,Technology Solutions
3 Drawer Lateral Filing Cabinet,furniture-storage,2023/10/26,Technology Solutions,Technology Solutions
Office Chair,furniture-seating,2023/10/26,English,Liberal Arts & Sciences
Office Chair,furniture-seating,2023/10/26,English,Liberal Arts & Sciences
Round Table,furniture-tables,2023/11/1,Computer Science,Engineering
Side Chair,furniture-seating,2023/11/1,Computer Science,Engineering
Side Chair,furniture-seating,2023/11/1,Computer Science,Engineering
Side Chair,furniture-seating,2023/11/1,Computer Science,Engineering
Side Chair,furniture-seating,2023/11/1,Computer Science,Engineering
Computer Table,furniture-tables,2023/6/29,Office for Access and Equity,Office for Access and Equity
5 Drawer Lateral File Cabinet,furniture-storage,2023/11/28,Population Hlth Sciences Prog,VC for Health Affairs
5 Drawer Lateral File Cabinet,furniture-storage,2023/11/28,Population Hlth Sciences Prog,VC for Health Affairs
5 Drawer Lateral File Cabinet,furniture-storage,2023/11/28,Population Hlth Sciences Prog,VC for Health Affairs
Side Chair,furniture-seating,2023/11/28,VC for Administrative Services,Vice Chanc Administrative Svcs
Side Chair,furniture-seating,2023/11/28,VC for Administrative Services,Vice Chanc Administrative Svcs
Wood Round Table,furniture-tables,2023/11/28,Disability & Human Development,Applied Health Sciences
4 Drawer Lateral File Cabinet,furniture-storage,2023/11/28,Disability & Human Development,Applied Health Sciences
Wooden Bookcase,furniture-storage,2023/12/5,Black Studies,Liberal Arts & Sciences
Stacking Side Chair,furniture-seating,2023/12/5,Ambulatory Off-Site Services,"Healthcare Systems, UIC - MC"
Stacking Side Chair,furniture-seating,2023/12/5,Ambulatory Off-Site Services,"Healthcare Systems, UIC - MC"
Stacking Side Chair,furniture-seating,2023/12/5,Ambulatory Off-Site Services,"Healthcare Systems, UIC - MC"
