Description,Item category,Received Date,Department Name,College Name
Lenovo ThinkCentre Computer,computing,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
Lenovo ThinkCentre Computer,computing,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
Lenovo ThinkCentre Computer,computing,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
Lenovo ThinkCentre Computer,computing,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
Lenovo ThinkCentre Computer,computing,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
Lenovo ThinkCentre Computer,computing,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
Lenovo ThinkCentre Computer,computing,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
Lenovo ThinkCentre Computer,computing,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
Lenovo ThinkCentre Computer,computing,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
Dell OptiPlex Computer,computing,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
Lenovo ThinkCentre Computer,computing,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
Lenovo ThinkCentre Computer,computing,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
Lenovo ThinkCentre Computer,computing,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
HP PAVILION LAPTOP,computing,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
Lenovo ThinkPad Laptop,computing,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
Lenovo ThinkPad Laptop,computing,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
Lenovo ThinkPad Laptop,computing,2024/8/27,Administration Services,"Healthcare Systems, UIC - MC"
Office Chair,furniture-seating,2024/8/27,Graduate Admin,Graduate College
Deskside return,furniture-tables,2024/8/27,Graduate Admin,Graduate College
Misc. Chair,furniture-seating,2024/8/27,Graduate Admin,Graduate College
Office Chair,furniture-seating,2024/8/27,Graduate Admin,Graduate College
Office Chair,furniture-seating,2024/8/27,Graduate Admin,Graduate College
Office Chair,furniture-seating,2024/8/27,Graduate Admin,Graduate College
Office Rolling Chair,furniture-seating,2024/8/27,Graduate Admin,Graduate College
Office Chair,furniture-seating,2024/8/27,Graduate Admin,Graduate College
Office Chair,furniture-seating,2024/8/27,Graduate Admin,Graduate College
OKI LASER PRINTER,computing,2024/8/27,Graduate Admin,Graduate College
OKI LASER PRINTER,computing,2024/8/27,Graduate Admin,Graduate College
OKI LASER PRINTER,computing,2024/8/27,Graduate Admin,Graduate College
OKI LASER PRINTER,computing,2024/8/27,Graduate Admin,Graduate College
DELL LASER PRINTER,computing,2024/8/27,Graduate Admin,Graduate College
HP LASERJET PRINTER,computing,2024/8/27,Graduate Admin,Graduate College
HP LASERJET PRINTER,computing,2024/8/27,Graduate Admin,Graduate College
XEROX LASER PRINTER,computing,2024/8/27,Graduate Admin,Graduate College
HP LASERJET PRINTER,computing,2024/8/27,Graduate Admin,Graduate College
HP LASERJET PRINTER,computing,2024/8/27,Graduate Admin,Graduate College
Wood Bookcase,furniture-storage,2024/8/27,Graduate Admin,Graduate College
Office Wood Desk,furniture-tables,2024/8/27,Graduate Admin,Graduate College
Office Computer Desk,computing,2024/8/27,Graduate Admin,Graduate College
SAMSUNG LCD MONITOR,electronics-av,2024/8/27,Graduate Admin,Graduate College
ASUS LCD MONITOR,electronics-av,2024/8/27,Graduate Admin,Graduate College
HP LCD MONITOR,electronics-av,2024/8/27,Graduate Admin,Graduate College
NEC LCD MONITOR,electronics-av,2024/8/27,Graduate Admin,Graduate College
ASUS LCD MONITOR,electronics-av,2024/8/27,Graduate Admin,Graduate College
DELL LCD MONITOR,electronics-av,2024/8/27,Graduate Admin,Graduate College
DELL LCD MONITOR,electronics-av,2024/8/27,Graduate Admin,Graduate College
ACER LCD MONITOR,electronics-av,2024/8/27,Graduate Admin,Graduate College
DELL LCD MONITOR,electronics-av,2024/8/27,Graduate Admin,Graduate College
DELL LCD MONITOR,electronics-av,2024/8/27,Graduate Admin,Graduate College
DELL LCD MONITOR,electronics-av,2024/8/27,Graduate Admin,Graduate College
DELL LCD MONITOR,electronics-av,2024/8/27,Graduate Admin,Graduate College
DELL LCD MONITOR,electronics-av,2024/8/27,Graduate Admin,Graduate College
DELL LCD MONITOR,electronics-av,2024/8/27,Graduate Admin,Graduate College
DELL LCD MONITOR,electronics-av,2024/8/27,Graduate Admin,Graduate College
ACER LCD MONITOR,electronics-av,2024/8/27,Graduate Admin,Graduate College
ACER LCD MONITOR,electronics-av,2024/8/27,Graduate Admin,Graduate College
ACER LCD MONITOR,electronics-av,2024/8/27,Graduate Admin,Graduate College
ACER LCD MONITOR,electronics-av,2024/8/27,Graduate Admin,Graduate College
lobby chair,furniture-seating,2024/8/27,Medicine,Coll Medicine at Chicago - CS
lobby chair,furniture-seating,2024/8/27,Medicine,Coll Medicine at Chicago - CS
Fischer Scientific Isotemp Incubator,lab-equipment,2024/8/27,Medicine,Coll Medicine at Chicago - CS
Fisher Scientifich Biotech,other,2024/8/27,Medicine,Coll Medicine at Chicago - CS
Centrifuge Sorvall,lab-equipment,2024/8/27,Medicine,Coll Medicine at Chicago - CS
Cart,decor-accessories,2024/8/27,Medicine,Coll Medicine at Chicago - CS
Microfridge,major-appliances,2024/8/27,Medicine,Coll Medicine at Chicago - CS
Autoclave,lab-equipment,2024/8/27,Medicine,Coll Medicine at Chicago - CS
Dell OptiPlex Computer,computing,2024/8/27,Medicine,Coll Medicine at Chicago - CS
Dell OptiPlex Computer,computing,2024/8/27,Medicine,Coll Medicine at Chicago - CS
Dell Dimension Computer,computing,2024/8/27,Medicine,Coll Medicine at Chicago - CS
Dell Dimension Computer,computing,2024/8/27,Medicine,Coll Medicine at Chicago - CS
Dell Inspiron Computer,computing,2024/8/27,Medicine,Coll Medicine at Chicago - CS
Brother Laser Printer,computing,2024/8/27,Medicine,Coll Medicine at Chicago - CS
HITACHI LCD MONITOR,electronics-av,2024/8/27,Medicine,Coll Medicine at Chicago - CS
DELL LCD MONITOR,electronics-av,2024/8/27,Medicine,Coll Medicine at Chicago - CS
Dell Latitude Laptop,computing,2024/8/28,Disability & Human Development,Applied Health Sciences
Dell Latitude Laptop,computing,2024/8/28,Disability & Human Development,Applied Health Sciences
1 Focupix Screen Broken and Case,electronics-av,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
1 Tripplite laptop holder,computing,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
70673839419 GLASS BOARD,decor-accessories,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
"MAP PDU	Middle Atlantic	PD-915R",other,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
"x17  PoE Injectors for Cisco WAP	CISCO",other,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Box of Desktop Monitor Arms,computing,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
Box Of Miscellaneous,other,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
"Dual SSD Mounter	StarTech.com",decor-accessories,2024/9/3,Pharmacy College Admin,Retzky College of Pharmacy
