Description,Item Category,Date of Retrieval,Department Name,College Name
Desktop Dell Precision 3440,computing,2025/2/20,Student Financial Aid-Admin,Provost & Executive VC
Desktop Dell Precision 3440,computing,2025/2/20,Student Financial Aid-Admin,Provost & Executive VC
Desktop Dell Precision 3430,computing,2025/2/20,Student Financial Aid-Admin,Provost & Executive VC
Desktop Dell Precision 3430,computing,2025/2/20,Student Financial Aid-Admin,Provost & Executive VC
Microsoft Surface 1796,computing,2025/2/24,Pathobiology,Veterinary Medicine
Microsoft Surface 1769,computing,2025/2/24,Pathobiology,Veterinary Medicine
Dell M410HD Projector,electronics-av,2025/2/24,Entomology,Liberal Arts & Sciences
Apple IMac A2115,computing,2025/2/24,Entomology,Liberal Arts & Sciences
Epson Projector,electronics-av,2025/2/24,Entomology,Liberal Arts & Sciences
Table 7'x18,furniture-tables,2025/2/24,Entomology,Liberal Arts & Sciences
Table 7'x18,furniture-tables,2025/2/24,Entomology,Liberal Arts & Sciences
Table 7'x18,furniture-tables,2025/2/24,Entomology,Liberal Arts & Sciences
Table 7'x18,furniture-tables,2025/2/24,Entomology,Liberal Arts & Sciences
Dell Optiplex 7060,computing,2025/2/24,Entomology,Liberal Arts & Sciences
Dell SX2210b Monitor,electronics-av,2025/2/24,Entomology,Liberal Arts & Sciences
Dell P2412Hb Monitor,electronics-av,2025/2/24,Entomology,Liberal Arts & Sciences
Rolling Chair,furniture-seating,2025/2/24,Vet Clinical Medicine,Veterinary Medicine
Desktop Dell Precision 3431,computing,2025/2/24,Mechanical Sci & Engineering,Grainger Engineering
Desktop Dell Precision 3431,computing,2025/2/24,Mechanical Sci & Engineering,Grainger Engineering
Dell U2412Mc Monitor,electronics-av,2025/2/24,Materials Science & Engineerng,Grainger Engineering
Rolling Chair,furniture-seating,2025/2/24,Carle IL COM Administration,Carle Illinois Medicine
Dell Monitor P2310HC,electronics-av,2025/2/26,Prairie Research Institute,OVCRI Institutes
Rolling Chair,furniture-seating,2025/2/26,Cooperative Extension,"Agr, Consumer & Env Sciences"
Rolling Chair,furniture-seating,2025/2/26,Cooperative Extension,"Agr, Consumer & Env Sciences"
Table 4'x2' rolling,furniture-tables,2025/2/26,Cooperative Extension,"Agr, Consumer & Env Sciences"
MacBook Pro A1708,computing,2025/2/26,IPM Administration,College of Media
Table 30x30,furniture-tables,2025/2/26,Biotechnology Center,VC for Research and Innovation
Table 4'x2' rolling,furniture-tables,2025/2/26,Biotechnology Center,VC for Research and Innovation
